"Bill of Material for "
"On 05/12/2017 at 19.19.50"

"Comment","Pattern","Quantity","Components"

"","CAPR5-4X5","1","Cout2_2","Capacitor"
"100nF","CAPC0805(2012)145_N","7","C2, C4, C6, C10, C11, C13, C15","CAP 82nF"
"100pF","CAPC0805(2012)145_N","1","C9","CAP 82nF"
"10k","RESC0805(2012)_L","3","Rlp, Ropto1, Ropto2",""
"10nF","CAPC0805(2012)145_N","2","C1, C7","CAP 82nF"
"10R","RESC0805(2012)_L","1","Rgate",""
"10uF","CAPC0805(2012)145_N","1","C14","CAP 82nF"
"10uF","CAPC5750X250X20LL40","5","Cf11, Cf12, Cf21, Cf22, Cf23","Chip Capacitor, 10 uF, +/- 10%, 100 V, -55 to 125 degC, 2220 (5750 Metric), RoHS, Tape and Reel"
"11 V","FAIR-DO-41-2_V","1","D3","Zener Diode, 11V, 1W, 5%, -65 to 200 degC, 2-Pin DO-41, Body 2.72 x 5.2 mm, RoHS"
"15uH","","2","Lb0, Lb2","Inductor"
"160k","RESC0805(2012)_L","1","R10",""
"17.2nF","CAPC0805(2012)145_N","1","CT","CAP 82nF"
"17uH","","1","Lb1","Inductor"
"1k","RESC0805(2012)_L","1","RT",""
"1M","RESC0805(2012)_L","1","R9",""
"1N4148W","JSCJ-SOD-123-2_V","1","D2","Fast Switching Diode, 75 V, 150 mA, 2-Pin 2.7 x 1.6 x 1.25 mm SMD, Tape and Reel"
"1uF","CAPC3216X180X20LL20","4","C5, Cf01, Cf02, Cf03","Chip Capacitor, 1 uF, +/- 10%, 100 V, -55 to 125 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
"2.2uH","","2","Lf0, Lout2","Inductor"
"200m","RESC0805(2012)_L","4","Rsense1, Rsense2, Rsense3, Rsense4","wrong footprint"
"20nF","CAPC0805(2012)145_N","1","C12","CAP 82nF"
"22nF","CAPC0805(2012)145_N","1","C8","CAP 82nF"
"22uH","","1","Lf2","Inductor"
"24.3k","RESC0805(2012)_L","1","Rslope",""
"2k29","RESC0805(2012)_L","1","R2",""
"2N7002","INF-PG-SOT23_M","1","Q3","N-Channel OptiMOS Small-Signal-Transistor, 60 V VDS, 0.3 A ID, -55 to 150 degC, PG-SOT23, Reel, Green"
"2R","RESC0805(2012)_L","1","Rf1",""
"3.3uH","","1","Lf1","Inductor"
"300k","AXIAL-0.7","1","R4","Variable Resistor"
"30k","RESC0805(2012)_L","3","R1, R8, R11",""
"33k","RESC0805(2012)_L","1","R5",""
"3M","RESC0805(2012)_L","1","R6",""
"423R","RESC0805(2012)_L","1","R12",""
"4N35(SHORT)","11-7A8","1","U4","Imported"
"50k","RESC0805(2012)_L","2","Rf, Rin",""
"50pF","CAPC0805(2012)145_N","1","Clp","CAP 82nF"
"5k69","RESC0805(2012)_L","1","R7",""
"6R4","RESC0805(2012)_L","1","Rf0",""
"800k","RESC0805(2012)_L","1","R3",""
"870m","RESC0805(2012)_L","1","Rf2",""
"BSF450NE7NH3","INF-MG-WDSON-2-1_V","1","Q1","N-Channel OptiMOS 3 Power-MOSFET, 75 V VDS, 15 A ID, -40 to 150 degC, MG-WDSON-2-1, Reel, Green"
"Cap2","CAPR5-4X5","7","C3, C16, C17, C18, C19, C20, Cout2_1","Capacitor"
"CDBB5100","SMC","1","D1","Default Diode"
"ETD 29/16/10, Turns ratio 30:13:22","","1","T1","Three-winding Transformer (Non-Ideal)"
"FDD8444_F085TR-ND","","1","Q2","FDD8444_F085TR-ND"
"Lin v.reg TPS79801-Q1","DGN0008B_N","2","U1, U2","got this footprint from a similar model"
"LM293D","D0008A_M","1","U5","Dual Differential Comparator, 2 to 30 V, -25 to 85 degC, 8-Pin SOIC (D), Green (RoHS & no Sb/Br), Tube"
"SW-SPDT","TL36WW15050","1","S1","SPDT Subminiature Toggle Switch, Right Angle Mounting, Vertical Actuation"
"TLVH431IDBZT","TI-DBZ3_N","1","U6","Low-Voltage Adjustable Precision Shunt Regulator, 80 mA, -40 to 85 degC, 3-pin SOT-23 (DBZ), Green (RoHS & no Sb/Br)"
"UC3842AD8TR","D0008A_L","1","U3","PWM Controller with Current Control, 100 % Duty Cycle, 0 to +70 degC, 8-pin SOIC (D), Green (RoHS & no Sb/Br)"
